1,1,1,2023-01-01 10:15:23
2,1,2,2023-01-01 10:20:45
3,1,3,2023-01-01 10:25:12
4,2,4,2023-01-01 11:30:00
5,2,5,2023-01-01 11:35:22
6,2,6,2023-01-01 11:40:15
7,3,7,2023-01-01 12:45:30
8,3,8,2023-01-01 12:50:45
9,3,9,2023-01-01 12:55:20
10,4,10,2023-01-01 13:00:10
11,4,11,2023-01-01 13:05:25
12,4,12,2023-01-01 13:10:40
13,5,13,2023-01-01 14:15:55
14,5,14,2023-01-01 14:20:30
15,5,15,2023-01-01 14:25:45
16,6,16,2023-01-01 15:30:20
17,6,17,2023-01-01 15:35:35
18,6,18,2023-01-01 15:40:50
19,7,19,2023-01-01 16:45:15
20,7,20,2023-01-01 16:50:30
21,7,21,2023-01-01 16:55:45
22,8,22,2023-01-01 17:00:20
23,8,23,2023-01-01 17:05:35
24,8,24,2023-01-01 17:10:50
25,9,25,2023-01-01 18:15:15
26,9,26,2023-01-01 18:20:30
27,9,27,2023-01-01 18:25:45
28,10,28,2023-01-01 19:30:20
29,10,29,2023-01-01 19:35:35
30,10,30,2023-01-01 19:40:50
31,11,31,2023-01-01 20:45:15
32,11,32,2023-01-01 20:50:30
33,11,33,2023-01-01 20:55:45
34,12,34,2023-01-01 21:00:20
35,12,35,2023-01-01 21:05:35
36,12,36,2023-01-01 21:10:50
37,13,37,2023-01-01 22:15:15
38,13,38,2023-01-01 22:20:30
39,13,39,2023-01-01 22:25:45
40,14,40,2023-01-01 23:30:20
41,14,41,2023-01-01 23:35:35
42,14,42,2023-01-01 23:40:50
43,15,43,2023-01-02 00:45:15
44,15,44,2023-01-02 00:50:30
45,15,45,2023-01-02 00:55:45
46,16,46,2023-01-02 01:00:20
47,16,47,2023-01-02 01:05:35
48,16,48,2023-01-02 01:10:50
49,17,49,2023-01-02 02:15:15
50,17,50,2023-01-02 02:20:30
51,17,51,2023-01-02 02:25:45
52,18,52,2023-01-02 03:30:20
53,18,53,2023-01-02 03:35:35
54,18,54,2023-01-02 03:40:50
55,19,55,2023-01-02 04:45:15
56,19,56,2023-01-02 04:50:30
57,19,57,2023-01-02 04:55:45
58,20,58,2023-01-02 05:00:20
59,20,59,2023-01-02 05:05:35
60,20,60,2023-01-02 05:10:50
61,21,61,2023-01-02 06:15:15
62,21,62,2023-01-02 06:20:30
63,21,63,2023-01-02 06:25:45
64,22,64,2023-01-02 07:30:20
65,22,65,2023-01-02 07:35:35
66,22,66,2023-01-02 07:40:50
67,23,67,2023-01-02 08:45:15
68,23,68,2023-01-02 08:50:30
69,23,69,2023-01-02 08:55:45
70,24,70,2023-01-02 09:00:20
71,24,71,2023-01-02 09:05:35
72,24,72,2023-01-02 09:10:50
73,25,73,2023-01-02 10:15:15
74,25,74,2023-01-02 10:20:30
75,25,75,2023-01-02 10:25:45
76,26,76,2023-01-02 11:30:20
77,26,77,2023-01-02 11:35:35
78,26,78,2023-01-02 11:40:50
79,27,79,2023-01-02 12:45:15
80,27,80,2023-01-02 12:50:30
81,27,81,2023-01-02 12:55:45
82,28,82,2023-01-02 13:00:20
83,28,83,2023-01-02 13:05:35
84,28,84,2023-01-02 13:10:50
85,29,85,2023-01-02 14:15:15
86,29,86,2023-01-02 14:20:30
87,29,87,2023-01-02 14:25:45
88,30,88,2023-01-02 15:30:20
89,30,89,2023-01-02 15:35:35
90,30,90,2023-01-02 15:40:50
91,31,91,2023-01-02 16:45:15
92,31,92,2023-01-02 16:50:30
93,31,93,2023-01-02 16:55:45
94,32,94,2023-01-02 17:00:20
95,32,95,2023-01-02 17:05:35
96,32,96,2023-01-02 17:10:50
97,33,97,2023-01-02 18:15:15
98,33,98,2023-01-02 18:20:30
99,33,99,2023-01-02 18:25:45
100,34,100,2023-01-02 19:30:20 
